City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
52,Tuktoyaktuk,69.4541,-133.0374,39.18,67,76,21.09,CA,2022-09-15 05:00:11
53,Chokurdakh,70.6333,147.9167,45.14,51,100,3.89,RU,2022-09-15 05:00:12
54,Tasiilaq,65.6145,-37.6368,37.89,62,100,3.29,GL,2022-09-15 05:00:12
55,Kapaa,22.0752,-159.319,79.11,79,33,8.16,US,2022-09-15 05:00:13
56,Sioux Lookout,50.1001,-91.917,51.3,54,100,7.99,CA,2022-09-15 05:00:14
57,Meulaboh,4.1363,96.1285,85.84,62,33,7.09,ID,2022-09-15 05:00:15
58,Belyy Yar,53.6039,91.3903,50.86,76,75,4.47,RU,2022-09-15 05:00:15
59,Mnogovershinnyy,53.9353,139.9242,47.95,52,6,17.38,RU,2022-09-15 04:59:23
60,Aswan,24.0934,32.907,83.21,29,11,14.94,EG,2022-09-15 05:00:16
61,San Policarpo,12.1791,125.5072,87.8,64,87,2.91,PH,2022-09-15 05:00:16
62,Yellowknife,62.456,-114.3525,50.56,71,77,5.01,CA,2022-09-15 05:00:17
63,Abidjan,5.3094,-4.0197,76.96,94,75,8.05,CI,2022-09-15 04:58:48
64,Gizo,-8.103,156.8419,83.75,70,45,4.27,SB,2022-09-15 05:00:17
65,Bluff,-46.6,168.3333,46.8,73,87,29.84,NZ,2022-09-15 05:00:17
66,Hithadhoo,-0.6,73.0833,81.54,69,69,4.94,MV,2022-09-15 05:00:18
67,Puerto Ayora,-0.7393,-90.3518,65.55,94,46,3.0,EC,2022-09-15 05:00:18
68,Shingu,33.7333,135.9833,80.78,68,90,12.37,JP,2022-09-15 05:00:19
69,Bredasdorp,-34.5322,20.0403,52.3,92,51,2.46,ZA,2022-09-15 05:00:19
70,Dezful,32.3811,48.4058,95.74,17,0,2.08,IR,2022-09-15 04:59:32
71,Ondjiva,-17.0667,15.7333,63.9,30,92,4.18,AO,2022-09-15 05:00:20
72,Sechura,-5.5569,-80.8222,62.47,84,48,8.84,PE,2022-09-15 05:00:21
73,Kavieng,-2.5744,150.7967,83.25,71,23,12.21,PG,2022-09-15 05:00:21
74,Flagstaff,35.1981,-111.6513,56.52,72,3,1.01,US,2022-09-15 05:00:07
75,Kindia,10.0569,-12.8658,70.14,99,100,2.39,GN,2022-09-15 05:00:21
76,Faanui,-16.4833,-151.75,77.92,74,12,22.15,PF,2022-09-15 05:00:22
